ISIN,Name
139619,Taurus Investor Education Pool - Unclaimed Dividend - Growth
139618,Taurus Investor Education Pool - Unclaimed Redemption - Growth
139616,Taurus Unclaimed Dividend - Growth
139617,Taurus Unclaimed Redemption - Growth
148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth
148920,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout
148918,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth
148919,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout
149383,Axis Multicap Fund - Direct Growth
149384,Axis Multicap Fund - Direct Plan - IDCW
149382,Axis Multicap Fund - Regular Plan - Growth
149387,Axis Multicap Fund - Regular Plan - IDCW
149303,BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN
149305,BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN
149304,BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN
149302,BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN
151443,Bank of India Multi Cap Fund Direct Plan - Growth
151444,Bank of India Multi Cap Fund Direct Plan - IDCW
151445,Bank of India Multi Cap Fund Regular Plan - Growth
151446,Bank of India Multi Cap Fund Regular Plan - IDCW
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option
119353,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option
102021,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option
151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option
151822,Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option
151821,Canara Robeco Multi Cap Fund - Regular Plan - Growth Option
151823,Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth
152093,Edelweiss Multi Cap Fund - Direct Plan - IDCW
152095,Edelweiss Multi Cap Fund - Regular Plan - Growth
152096,Edelweiss Multi Cap Fund - Regular Plan - IDCW
149366,HDFC Multi Cap Fund - Growth Option
149368,HDFC Multi Cap Fund - Growth Option - Direct Plan
149365,HDFC Multi Cap Fund - IDCW Option
149367,HDFC Multi Cap Fund - IDCW Option - Direct Plan
151290,HSBC Multi Cap Fund - Direct - Growth
151291,HSBC Multi Cap Fund - Direct - IDCW
151289,HSBC Multi Cap Fund - Regular - Growth
151292,HSBC Multi Cap Fund - Regular - IDCW
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth
120598,ICICI Prudential Multicap Fund - Direct Plan -  IDCW
101228,ICICI Prudential Multicap Fund - Growth
101706,ICICI Prudential Multicap Fund - IDCW
120413,Invesco India Multicap Fund - Direct Plan - Growth Option
120412,Invesco India Multicap Fund - Direct Plan - IDCW (Payout / Reinvestment)
107353,Invesco India Multicap Fund - Growth Option
107352,Invesco India Multicap Fund - IDCW (Payout / Reinvestment)
147183,ITI Multi Cap Fund - Direct Plan - Growth Option
147186,ITI Multi Cap Fund - Direct Plan - IDCW Option
147184,ITI Multi Cap Fund - Regular Plan - Growth Option
147185,ITI Multi Cap Fund - Regular Plan - IDCW Option
149183,Kotak Multicap Fund- Regular Plan -IDCW Option
149185,Kotak Multicap Fund-Direct Plan-Growth
149187,Kotak Multicap Fund-Direct Plan-IDCW Option
149182,Kotak Multicap Fund-Regular Plan-Growth
150659,LIC MF Multi Cap Fund-Direct Plan-Growth
150660,LIC MF Multi Cap Fund-Direct Plan-IDCW
150661,LIC MF Multi Cap Fund-Regular Plan-Growth
150662,LIC MF Multi Cap Fund-Regular Plan-IDCW
141223,Mahindra Manulife Multi Cap Fund - Direct Plan - IDCW
141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth
