Name,UniqueCode
Taurus Mutual Fund,1
Aditya Birla Sun Life Mutual Fund,2
Axis Mutual Fund,3
Bandhan Mutual Fund,4
Bank of India Mutual Fund,5
Baroda BNP Paribas Mutual Fund,6
Canara Robeco Mutual Fund,7
Edelweiss Mutual Fund,8
HDFC Mutual Fund,9
HSBC Mutual Fund,10
ICICI Prudential Mutual Fund,11
Invesco Mutual Fund,12
ITI Mutual Fund,13
Kotak Mahindra Mutual Fund,14
LIC Mutual Fund,15
Mahindra Manulife Mutual Fund,16
Mirae Asset Mutual Fund,17
Nippon India Mutual Fund,18
quant Mutual Fund,19
SBI Mutual Fund,20
Sundaram Mutual Fund,21
Tata Mutual Fund,22
Union Mutual Fund,23
WhiteOak Capital Mutual Fund,24
DSP Mutual Fund,25
Franklin Templeton Mutual Fund,26
Groww Mutual Fund,27
JM Financial Mutual Fund,28
PGIM India Mutual Fund,29
UTI Mutual Fund,30
Motilal Oswal Mutual Fund,31
Navi Mutual Fund,32
Quantum Mutual Fund,33
360 ONE Mutual Fund (Formerly Known as IIFL Mutual Fund),34
Samco Mutual Fund,35
NJ Mutual Fund,36
PPFAS Mutual Fund,37
Shriram Mutual Fund,38
Zerodha Mutual Fund,39
Bajaj Finserv Mutual Fund,40
Helios Mutual Fund,41
Trust Mutual Fund,42
