SchemeType,UniqueCode
Money Market,1
Equity Scheme - Multi Cap Fund,2
Equity Scheme - Large Cap Fund,3
Equity Scheme - Large & Mid Cap Fund,4
Equity Scheme - Mid Cap Fund,5
Equity Scheme - Small Cap Fund,6
Equity Scheme - Dividend Yield Fund,7
Equity Scheme - Value Fund,8
Equity Scheme - Contra Fund,9
Equity Scheme - Focused Fund,10
Equity Scheme - Sectoral/ Thematic,11
Equity Scheme - ELSS,12
Debt Scheme - Overnight Fund,13
Debt Scheme - Liquid Fund,14
Debt Scheme - Ultra Short Duration Fund,15
Debt Scheme - Low Duration Fund,16
Debt Scheme - Money Market Fund,17
Debt Scheme - Short Duration Fund,18
Debt Scheme - Medium Duration Fund,19
Debt Scheme - Medium to Long Duration Fund,20
Debt Scheme - Long Duration Fund,21
Debt Scheme - Dynamic Bond,22
Debt Scheme - Corporate Bond Fund,23
Debt Scheme - Credit Risk Fund,24
Debt Scheme - Banking and PSU Fund,25
Debt Scheme - Gilt Fund,26
Debt Scheme - Gilt Fund with 10 year constant duration,27
Debt Scheme - Floater Fund,28
Hybrid Scheme - Conservative Hybrid Fund,29
Hybrid Scheme - Balanced Hybrid Fund,30
Hybrid Scheme - Aggressive Hybrid Fund,31
Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,32
Hybrid Scheme - Multi Asset Allocation,33
Hybrid Scheme - Arbitrage Fund,34
Hybrid Scheme - Equity Savings,35
Solution Oriented Scheme - Retirement Fund,36
Solution Oriented Scheme - Childrenâs Fund,37
Other Scheme - Index Funds,38
Other Scheme - Gold ETF,39
Other Scheme - Other  ETFs,40
Other Scheme - FoF Overseas,41
Other Scheme - FoF Domestic,42
Equity Scheme - Flexi Cap Fund,43
